Processes: 212 total, 4 running, 6 stuck, 202 sleeping, 1019 threads 
2014/07/31 06:55:02
Load Avg: 2.07, 2.75, 2.64 
CPU usage: 32.91% user, 45.56% sys, 21.51% idle 
SharedLibs: 9412K resident, 8388K data, 0B linkedit.
MemRegions: 46292 total, 1220M resident, 72M private, 346M shared.
PhysMem: 3004M used (1134M wired), 19M unused.
VM: 528G vsize, 1068M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 31360782/25G in, 29845626/18G out.
Disks: 978252/21G read, 388862/16G written.

PID    COMMAND          %CPU TIME     #TH  #WQ #PORTS #MREGS MEM    RPRVT  PURG   CMPRS  VPRVT VSIZE  PGRP  PPID  STATE    UID FAULTS    COW      MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW        PAGEINS KPRVT  KSHRD  IDLEW    POWER USER           
65692  System Events    0.0  00:00.15 3    0   128+   109+   3928K+ 2564K+ 0B     0B     53M+  2471M+ 65692 424   sleeping 501 3945+     373+     1117+     395+      4015+     2309+     1132+      77+     259K+  190K+  7        0.0   tgreen         
64993  mdworker         0.0  00:00.10 4    1   53+    59+    2044K+ 1196K+ 0B     0B     54M+  2417M+ 64993 424   sleeping 501 2110+     234+     546+      245+      1624+     654+      415+       10+     192K+  513K+  22       0.0   tgreen         
64133  CVMCompiler      0.0  00:00.39 2    1   34+    77+    16M+   16M+   0B     0B     73M+  2461M+ 64133 424   sleeping 501 7494+     248+     79+       38+       972+      188+      304+       1235+   217K+  -12K+  1        0.0   tgreen         
63621  mdworker         0.0  00:00.11 3    0   49+    54+    1844K+ 1128K+ 0B     0B     53M+  2437M+ 63621 435   stuck    89  2094+     206+     496+      218+      1779+     548+      496+       26+     231K+  911K+  15       0.0   _spotlight     
62128  VTDecoderXPCServ 0.0  00:00.11 2    0   51+    77+    2528K+ 1732K+ 0B     0B     66M+  2453M+ 62128 1     sleeping 501 3448+     277+     637+      274+      1227+     961+      675+       231+    253K+  171K+  19       0.0   tgreen         
62098  com.apple.audio. 0.0  00:00.03 2    1   47+    57+    1456K+ 808K+  0B     0B     53M+  2413M+ 62098 1     sleeping 501 1710+     206+     212+      82+       922+      387+      284+       21+     190K+  61K+   0        0.0   tgreen         
62083  com.apple.audio. 0.0  00:00.02 2    1   31+    46+    1140K+ 608K+  0B     0B     53M+  2412M+ 62083 1     sleeping 501 1548+     196+     113+      38+       502+      235+      150+       0       180K+  43K+   0        0.0   tgreen         
62082  mplayer          0.0  00:00.36 1    0   7+     56+    196K+  156K+  0B     0B     17M+  2425M+ 62081 62081 sleeping 501 79+       24+      8+        4+        18932+    8360+     9899+      3+      96K+   1339K+ 3739     0.0   tgreen         
62081  mplayer          0.0  00:35.28 8    1   147+   177+   52M+   44M+   0B     0B     77M+  2503M+ 62081 62043 sleeping 501 25488+    500+     110808+   43492+    162800+   116555+   95695+     961+    78K+   1363K+ 5335     0.0   tgreen         
62065  QuickLookSatelli 0.0  00:00.29 2    0   52+    71+    3476K+ 2020K+ 0B     0B     54M+  2416M+ 62065 1     sleeping 501 3171+     321+     455+      209+      2085+     861+      1246+      424+    207K+  585K+  13       0.0   tgreen         
62043  MPlayerX         0.0  00:10.71 10   4   226+   318+   24M+   10M+   20K+   52K+   90M+  2811M+ 62043 424   sleeping 501 28984+    440+     173137+   78495+    65268+    176062+   57978+     696+    859K+  -1M+   5281     0.0   tgreen         
62042  quicklookd       0.0  00:00.32 4    0   80+    75+    4276K+ 2980K+ 0B     0B     564M+ 2948M+ 62042 424   sleeping 501 3270+     286+     392+      144+      3045+     712+      1126+      264+    252K+  629K+  7        0.0   tgreen         
61616  CVMCompiler      0.0  00:00.33 2    1   31+    69+    12M+   11M+   0B     0B     64M+  2441M+ 61616 424   sleeping 501 6800+     257+     63+       26+       721+      160+      560+       2801+   198K+  79K+   0        0.0   tgreen         
61615  netbiosd         0.0  00:00.03 2    1   42+    41+    940K+  576K+  0B     0B     53M+  2412M+ 61615 1     sleeping 222 916+      206+     149+      44+       820+      267+      451+       9+      180K+  136K+  10       0.0   _netbios       
59414  com.apple.iCloud 0.0  00:00.61 5    0   87+    78+    2728K+ 2276K+ 0B     904K+  54M+  2436M+ 59414 1     sleeping 501 3696+     268+     974+      414+      6767+     1733+     1906+      210+    292K+  612K+  57       0.0   tgreen         
58255  WiFiKeychainProx 0.0  00:00.04 2    0   55+    43+    628K+  416K+  0B     412K+  53M+  2433M+ 58255 424   sleeping 501 1251+     149+     551+      257+      1083+     707+      569+       29+     292K+  206K+  13       0.0   tgreen         
57309  xpcd             0.0  00:00.05 2    0   32+    40+    8192B+ 4096B+ 0B     1952K+ 54M+  2412M+ 57309 1     sleeping 89  1162+     86+      98+       56+       953+      291+      358+       2+      151K+  259K+  5        0.0   _spotlight     
55097  EscrowSecurityAl 0.0  00:00.88 3    0   140+   82+    1556K+ 1044K+ 0B     2224K+ 53M+  2472M+ 55097 424   sleeping 501 10004+    420+     19543+    5272+     12059+    33922+    22805+     92+     1341K+ -2M+   141      0.0   tgreen         
54985  cookied          0.0  00:00.05 2    0   52+    48+    860K+  588K+  0B     2636K+ 53M+  2411M+ 54985 424   sleeping 501 1482+     145+     259+      127+      3738+     617+      399+       3+      177K+  76K+   1        0.0   tgreen         
53499  spindump_agent   0.0  00:00.02 2    1   52+    50+    552K+  312K+  0B     552K+  53M+  2414M+ 53499 424   sleeping 501 1051+     159+     189+      74+       525+      343+      276+       2+      210K+  44K+   0        0.0   tgreen         
49370  1Password 4      0.0  20:07.95 7    0   228+   852+   29M+   12M+   0B     18M+   132M+ 2640M+ 49370 424   sleeping 501 392031+   1017+    10839549+ 3788752+  3696653+  7649287+  7000889+   2951+   4980K+ -11M+  774222   0.0   tgreen         
48731  com.apple.ColorS 0.0  00:00.01 2    1   30+    45+    48K+   24K+   0B     992K+  53M+  2412M+ 48731 1     sleeping 501 1608+     195+     112+      43+       500+      234+      152+       0       190K+  49K+   2        0.0   tgreen         
48304  com.apple.BKAgen 0.0  00:00.05 2    1   53+    57+    556K+  372K+  0B     1328K+ 53M+  2435M+ 48304 1     sleeping 501 2744+     329+     272+      132+      982+      562+      594+       12+     250K+  139K+  2        0.0   tgreen         
48260  syspolicyd       0.0  00:00.02 2    1   23+    40+    8192B+ 4096B+ 0B     1684K+ 53M+  2412M+ 48260 1     sleeping 0   713+      87+      51+       19+       305+      117+      82+        5+      153K+  60K+   0        0.0   root           
48258  Preview          0.0  00:02.62 3    0   235+   315+   6288K+ 3588K+ 0B     18M+   74M+  2567M+ 48258 424   sleeping 501 79746+    657+     24467+    10684+    17514+    27200+    16766+     996+    1625K+ -92K+  166      0.0   tgreen         
34108  zsh              0.0  00:00.41 1    0   19+    56+    1536K+ 1504K+ 0B     1244K+ 45M+  2404M+ 34108 1741  sleeping 501 6391+     1423+    70+       21+       18410+    173+      1085+      427+    753K+  2019K+ 0        0.0   tgreen         
33018  vim              0.0  00:00.14 1    0   19+    35+    704K+  652K+  0B     1036K+ 45M+  2404M+ 33018 3582  sleeping 501 1422+     129+     37+       12+       2922+     80+       237+       65+     142K+  102K+  7        0.0   tgreen         
29611  com.apple.WebKit 0.0  01:58.33 11   0   274+   460+   31M+   25M+   0B     22M+   266M+ 3609M+ 29611 1     sleeping 501 398743+   646+     361781+   171487+   1111454+  718092+   454851+    14333+  13M+   102M+  5684     0.0   tgreen         
23256  vim              0.0  00:00.27 1    0   19+    35+    568K+  524K+  0B     1168K+ 44M+  2404M+ 23256 1743  sleeping 501 1327+     119+     37+       12+       4458+     80+       443+       92+     138K+  79K+   1        0.0   tgreen         
18954  mdflagwriter     0.0  00:00.00 2    1   24+    37+    204K+  104K+  0B     348K+  45M+  2403M+ 18954 18952 sleeping 99  457+      81+      65+       21+       373+      156+      60+        0       140K+  50K+   2        0.0   _unknown       
18952  launchd          0.0  00:00.04 2    0   62+    39+    272K+  204K+  0B     304K+  47M+  2413M+ 18952 1     sleeping 99  829+      185+     1906+     624+      2260+     1865+     964+       0       158K+  55K+   19       0.0   _unknown       
13285  ssh-agent        0.0  00:00.18 3    0   52+    46+    724K+  532K+  0B     832K+  63M+  2422M+ 13285 424   sleeping 501 2772+     150+     2465+     1503+     5828+     3939+     4179+      32+     1314K+ 178K+  50       0.0   tgreen         
11933  com.apple.hiserv 0.0  00:00.02 2    0   34+    42+    12K+   4096B+ 0B     1008K+ 45M+  2403M+ 11933 1     sleeping 501 1501+     201+     101+      38+       421+      222+      91+        0       165K+  53K+   0        0.0   tgreen         
8894   com.apple.WebKit 0.0  00:04.19 14   0   274+   559+   3424K+ 2684K+ 0B     64M+   282M+ 3610M+ 8894  1     sleeping 501 67793+    576+     35554+    13715+    56467+    76112+    54859+     355+    3493K+ -2M+   1005     0.0   tgreen         
7370   imklaunchagent   0.0  00:00.17 2    0   61+    47+    660K+  368K+  0B     1404K+ 63M+  2423M+ 7370  424   sleeping 501 3037+     140+     4432+     2224+     8110+     4895+     4468+      10+     1382K+ 247K+  148      0.0   tgreen         
6745   vim              0.0  00:00.16 1    0   19+    35+    472K+  424K+  0B     1132K+ 44M+  2404M+ 6745  6279  sleeping 501 1132+     109+     37+       12+       3306+     80+       406+       28+     122K+  41K+   12       0.0   tgreen         
6279   zsh              0.0  00:00.14 1    0   19+    56+    8192B+ 0B     0B     2840K+ 37M+  2404M+ 6279  1741  sleeping 501 3225+     684+     70+       21+       15105+    171+      117+       0       381K+  156K+  0        0.0   tgreen         
3582   zsh              0.0  00:00.30 1    0   19+    56+    8192B+ 4096B+ 0B     3212K+ 45M+  2404M+ 3582  1741  sleeping 501 5757+     1291+    71+       22+       28238+    173+      503+       6+      699K+  322K+  1        0.0   tgreen         
1743   zsh              0.0  00:00.23 1    0   19+    56+    8192B+ 4096B+ 0B     2936K+ 45M+  2404M+ 1743  1741  sleeping 501 4402+     964+     84+       28+       19600+    211+      372+       1+      500K+  685K+  0        0.0   tgreen         
1741   tmux             0.0  06:17.26 1    0   8+     46+    6688K+ 6576K+ 0B     25M+   44M+  2411M+ 1741  1     sleeping 501 8654854+  4553362+ 32+       5+        11200823+ 46+       1055889+   167+    785M+  474M+  17603    0.0   tgreen         
1693   tmux             0.0  00:00.03 1    0   15+    32+    188K+  116K+  0B     280K+  19M+  2387M+ 1693  652   sleeping 501 1376+     512+     37+       18+       2303+     96+       92+        16+     297K+  395K+  0        0.0   tgreen         
1204   com.apple.MailSe 0.0  00:01.21 3    0   130+   123+   1372K+ 876K+  0B     1892K+ 53M+  2454M+ 1204  1     sleeping 501 11586+    450+     21113+    5544+     36567+    37260+    35807+     162+    2106K+ -3M+   562      0.0   tgreen         
1150   com.apple.securi 0.0  00:01.42 3    0   131+   78+    2012K+ 1504K+ 0B     2164K+ 53M+  2454M+ 1150  1     sleeping 501 11766+    390+     23257+    6956+     39954+    44938+    40428+     42+     2732K+ -3M+   576      0.0   tgreen         
1118   systemstatsd     0.0  00:01.77 2    1   26+    40+    20K+   20K+   0B     2552K+ 54M+  2412M+ 1118  1     sleeping 0   18988+    71+      1397+     561+      46130+    2022+     12753+     848+    436K+  8433K+ 82       0.0   root           
974    com.apple.WebKit 0.0  00:43.32 5    0   107+   532+   6676K+ 6032K+ 0B     29M+   81M+  3494M+ 974   1     sleeping 501 83734+    2317+    290742+   159696+   1459164+  935277+   897592+    764+    10M+   67M+   1120     0.0   tgreen         
972    Safari           0.0  01:55.63 18   0   453+   1475+  70M+   61M+   0B     95M+   453M+ 3688M+ 972   424   sleeping 501 608483+   2638+    307747+   178192+   1029167+  1417650+  845087+    9196+   13M+   25M+   3216     0.0   tgreen         
953    mdflagwriter     0.0  00:03.32 2    1   24+    210+   392K+  296K+  0B     21M+   73M+  2432M+ 953   424   sleeping 501 23964+    81+      10467+    5222+     108134+   40385+    19035+     2+      5704K+ 2099K+ 570      0.0   tgreen         
915    ConnectedDataRes 0.0  00:19.13 4    1   135+   83+    1872K+ 1264K+ 0B     1932K+ 64M+  2481M+ 915   424   sleeping 501 11948+    266+     453717+   262934+   937657+   881568+   639842+    101+    4739K+ -4M+   3098     0.0   tgreen         
898    Karabiner_AXNoti 0.0  01:12.80 5    2   197+   104+   4296K+ 3664K+ 0B     1716K+ 76M+  2496M+ 898   424   sleeping 501 223815+   293+     794659+   559502+   383178+   2284755+  558907+    163+    -25K+  -31M+  32390    0.0   tgreen         
880    CIJScannerRegist 0.0  00:12.87 6    0   136+   86+    1668K+ 1140K+ 0B     1472K+ 53M+  2470M+ 880   424   sleeping 501 55279+    275+     78905+    34112+    667216+   110953+   261695+    15+     54M+   28M+   70788    0.0   tgreen         
877    Image Capture Ex 0.0  00:01.54 3    0   144+   91+    2024K+ 1440K+ 0B     2516K+ 68M+  2486M+ 877   424   sleeping 501 12922+    334+     35704+    12372+    35310+    47754+    38199+     189+    2244K+ -2M+   571      0.0   tgreen         
855    TextExpander Hel 0.0  00:03.61 10   2   187+   194+   4576K+ 3128K+ 0B     5356K+ 192M+ 3523M+ 855   424   sleeping 501 22996+    452+     57200+    24427+    44232+    109936+   63615+     725+    4898K+ -10M+  904      0.0   tgreen         
854    Finder           0.0  00:45.64 12   5   249+   246+   13M+   12M+   0B     33M+   191M+ 2618M+ 854   424   sleeping 501 441005+   710+     386399+   278468+   1080180+  1042538+  555156+    2066+   5079K+ -174M+ 5053     0.0   tgreen         
834    com.bourgeoisbit 0.0  00:00.09 3    0   43+    39+    252K+  160K+  0B     800K+  63M+  2444M+ 834   1     sleeping 0   2331+     138+     1371+     675+      5939+     2085+     3319+      3+      1390K+ 211K+  101      0.0   root           
808    storeagent       0.0  00:03.66 7    3   140+   89+    4628K+ 4084K+ 0B     6096K+ 60M+  2446M+ 808   424   sleeping 501 16357+    326+     23142+    14116+    150076+   49545+    101156+    908+    5444K+ -6M+   284      0.0   tgreen         
805    com.apple.geod   0.0  00:00.05 2    0   53+    42+    536K+  356K+  0B     1104K+ 53M+  2411M+ 805   1     sleeping 501 1854+     189+     266+      120+      971+      573+      558+       41+     196K+  149K+  0        0.0   tgreen         
801    Karabiner        0.0  00:04.34 5    0   182+   152+   5712K+ 4824K+ 0B     16M+   96M+  2580M+ 801   424   sleeping 501 22807+    367+     47402+    18679+    70515+    63404+    52677+     393+    3049K+ 43M+   555      0.0   tgreen         
800    Cloak            0.0  00:05.00 7    2   200+   160+   4388K+ 3484K+ 0B     11M+   60M+  2495M+ 800   424   sleeping 501 24863+    458+     62154+    30657+    112092+   136839+   111048+    1953+   5113K+ -18M+  1409     0.0   tgreen         
797    Seil             0.0  00:01.81 5    0   186+   156+   3220K+ 2588K+ 0B     9412K+ 63M+  2550M+ 797   424   sleeping 501 15061+    362+     34721+    12684+    42344+    53750+    45727+     86+     3010K+ -3M+   680      0.0   tgreen         
796    Memory Clean     0.0  00:10.61 7    2   177+   179+   5324K+ 3992K+ 0B     3944K+ 55M+  2478M+ 796   424   sleeping 501 40956+    353+     77607+    43290+    92443+    227111+   93960+     261+    4663K+ -10M+  3953     0.0   tgreen         
794    BlueHarvest      0.0  00:12.38 9    2   226+   210+   7048K+ 4984K+ 0B     9948K+ 65M+  2506M+ 794   424   sleeping 501 47337+    542+     42898+    17318+    85693+    93308+    281729+    393+    3762K+ -22M+  638      0.0   tgreen         
793    ScreenSharingMen 0.0  00:02.79 6    2   163+   129+   3068K+ 2192K+ 0B     3496K+ 55M+  2476M+ 793   424   sleeping 501 15681+    400+     39095+    15485+    40480+    91286+    58712+     288+    4157K+ -10M+  703      0.0   tgreen         
792    Growl            0.0  00:06.31 5    1   174+   163+   4792K+ 4112K+ 0B     21M+   82M+  2509M+ 792   424   sleeping 501 68680+    473+     51160+    17602+    126897+   107885+   82017+     2645+   6998K+ 171K+  6466     0.0   tgreen         
791    Clocks           0.0  00:03.08 8    2   169+   127+   2756K+ 1920K+ 0B     2676K+ 48M+  2476M+ 791   424   sleeping 501 14493+    368+     46817+    20886+    61006+    111810+   74691+     104+    4514K+ -10M+  643      0.0   tgreen         
790    HazelHelper      0.0  00:16.71 11   8   200+   226+   4436K+ 3552K+ 0B     48M+   135M+ 2575M+ 790   424   sleeping 501 105927+   5957+    768472+   378812+   291702+   614004+   160130+    459+    26M+   993K+  1937     0.0   tgreen         
786    LaunchBar        0.0  03:41.26 8    2   299+   531+   64M+   62M+   4096B+ 30M+   340M+ 2785M+ 786   424   sleeping 501 275515+   2316+    229861+   111021+   16595950+ 1024686+  503407+    3640+   18M+   194M+  34763    0.0   tgreen         
785    Cobook           0.0  00:08.37 7    2   192+   638+   9740K+ 7076K+ 0B     31M+   176M+ 3662M+ 785   424   sleeping 501 95790+    10829+   73665+    30588+    106759+   163657+   115217+    3959+   6899K+ -5M+   1799     0.0   tgreen         
784    Dropzone 3       0.0  03:01.79 7    2   172+   489+   11M+   10M+   16K+   5740K+ 75M+  2500M+ 784   424   sleeping 501 1342732+  460+     126384+   46096+    7886329+  666674+   289154+    1943+   7629K+ 35M+   29121    0.0   tgreen         
783    Keyboard Maestro 0.0  01:39.22 7    3   206+   222+   9584K+ 8452K+ 0B     23M+   113M+ 2552M+ 783   424   sleeping 501 95223+    4713+    204947+   97178+    784144+   4583441+  922393+    4823+   4102K+ -30M+  215844   0.0   tgreen         
782    Fantastical      0.0  00:34.38 8    2   217+   304+   17M+   15M+   0B     22M+   104M+ 2542M+ 782   424   sleeping 501 81681+    859+     81628+    28505+    191212+   171353+   183473+    2509+   8752K+ -9M+   3614     0.0   tgreen         
781    TextExpander     0.0  00:08.92 8    2   304+   327+   9292K+ 6728K+ 0B     16M+   89M+  3556M+ 781   424   sleeping 501 40070+    825+     113576+   44355+    162170+   189522+   138971+    5729+   5433K+ -7M+   7684     0.0   tgreen         
779    Moom             0.0  00:20.49 7    2   198+   160+   4876K+ 4020K+ 0B     7684K+ 74M+  2513M+ 779   424   sleeping 501 49429+    364+     249634+   103084+   215987+   490568+   227001+    416+    4705K+ -44M+  1521     0.0   tgreen         
777    PopClip          0.0  00:37.88 7    3   241+   323+   6496K+ 5124K+ 0B     5228K+ 64M+  3576M+ 777   424   sleeping 501 220166+   470+     357715+   154921+   342952+   657309+   349999+    1603+   5183K+ -53M+  8361     0.0   tgreen         
776    Bartender        0.0  01:47.39 7    2   196+   153+   6544K+ 5620K+ 0B     5304K+ 72M+  2494M+ 776   424   sleeping 501 334462+   450+     715897+   381011+   1379532+  1401137+  980622+    745+    3595K+ -11M+  4181     0.0   tgreen         
775    gamed            0.0  00:01.84 5    0   186+   141+   2924K+ 2344K+ 0B     3512K+ 59M+  2475M+ 775   424   sleeping 501 13647+    627+     26073+    7850+     41472+    41770+    41420+     483+    2314K+ -3M+   523      0.0   tgreen         
772    Flux             0.0  00:33.15 7    2   177+   249+   4072K+ 2976K+ 0B     3708K+ 63M+  3507M+ 772   424   sleeping 501 375705+   601+     331936+   33102+    91863+    958818+   465296+    225+    -104K+ -274M+ 33247    0.0   tgreen         
770    iTunesHelper     0.0  00:00.73 3    0   69+    81+    1112K+ 772K+  0B     1696K+ 53M+  2438M+ 770   424   sleeping 501 8410+     310+     12976+    3276+     7049+     30685+    19814+     125+    1322K+ -3M+   203      0.0   tgreen         
767-   SpotifyWebHelper 0.0  00:01.87 3    0   46+    69+    640K+  400K+  0B     1972K+ 49M+  641M+  767   424   sleeping 501 2635+     326+     200+      88+       53967+    21729+    10608+     1219+   196K+  203K+  529      0.0   tgreen         
766    iStatMenusAgent  0.0  00:00.23 4    0   68+    57+    780K+  564K+  0B     1048K+ 53M+  2436M+ 766   424   sleeping 501 4651+     210+     3021+     1961+     9614+     7489+     6701+      106+    2097K+ 273K+  102      0.0   tgreen         
755    helpd            0.0  00:00.09 2    0   45+    46+    496K+  328K+  0B     696K+  53M+  2434M+ 755   424   sleeping 501 3121+     176+     1337+     664+      5859+     2123+     3353+      0       1371K+ 166K+  101      0.0   tgreen         
750    SocialPushAgent  0.0  00:00.06 2    0   61+    58+    592K+  428K+  0B     1184K+ 53M+  2435M+ 750   424   sleeping 501 2484+     222+     572+      290+      1380+     845+      766+       4+      211K+  105K+  0        0.0   tgreen         
748-   notificator      0.0  00:00.16 2    0   46+    51+    428K+  308K+  0B     608K+  48M+  639M+  748   424   sleeping 501 2696+     125+     1393+     701+      5865+     2156+     3568+      584+    1819K+ -1M+   146      0.0   tgreen         
743    J8RPQ294UB.com.s 0.0  00:03.00 5    2   134+   101+   2152K+ 1488K+ 0B     1980K+ 54M+  2473M+ 743   424   sleeping 501 13684+    371+     45635+    19692+    61556+    108381+   73691+     39+     4012K+ -11M+  788      0.0   tgreen         
739    2BUA8C4S2C.com.a 0.0  00:11.81 8    2   185+   361+   5328K+ 4532K+ 0B     8732K+ 63M+  2473M+ 739   424   sleeping 501 37324+    604+     79351+    37938+    120391+   159622+   108062+    1232+   8072K+ -7M+   1813     0.0   tgreen         
652    zsh              0.0  00:00.27 1    0   19+    56+    8192B+ 4096B+ 0B     3004K+ 45M+  2404M+ 652   651   sleeping 501 2872+     597+     45+       16+       13783+    113+      275+       142+    404K+  2861K+ 0        0.0   tgreen         
651    login            0.0  00:00.03 2    0   30+    45+    8192B+ 4096B+ 0B     964K+  45M+  2403M+ 651   507   sleeping 0   827+      144+     99+       43+       4991+     192+      129+       1+      156K+  109K+  0        0.0   root           
648    VDCAssistant     0.0  00:00.75 4    0   88+    73+    708K+  504K+  0B     1152K+ 54M+  2460M+ 648   1     sleeping 0   7270+     213+     22217+    8325+     6278+     28986+    23616+     193+    1332K+ -4M+   108      0.0   root           
645    com.apple.InputM 0.0  00:00.19 2    0   55+    64+    1132K+ 928K+  0B     1384K+ 57M+  2438M+ 645   1     sleeping 501 4694+     234+     939+      501+      4463+     1851+     2436+      165+    308K+  371K+  5        0.0   tgreen         
644    EvernoteHelper   0.0  00:03.31 5    2   159+   145+   5276K+ 3892K+ 0B     2940K+ 60M+  2488M+ 644   424   sleeping 501 18485+    367+     49263+    19977+    60314+    94779+    67672+     303+    4985K+ -12M+  1276     0.0   tgreen         
642    AppleSpell       0.0  00:02.04 2    0   75+    89+    832K+  632K+  0B     6312K+ 58M+  2469M+ 642   424   sleeping 501 10132+    227+     36975+    18154+    7418+     25131+    5967+      2801+   1541K+ 320K+  163      0.0   tgreen         
633    pbs              0.0  00:00.29 2    1   51+    46+    868K+  620K+  0B     1364K+ 53M+  2414M+ 633   424   sleeping 501 3550+     137+     546+      364+      6745+     1190+     1887+      92+     422K+  500K+  14       0.0   tgreen         
615    ScopedBookmarkAg 0.0  00:00.26 2    1   41+    58+    268K+  168K+  0B     5384K+ 55M+  2437M+ 615   424   sleeping 501 4943+     145+     207+      115+      7967+     431+      3771+      16+     1464K+ 244K+  105      0.0   tgreen         
605    coresymbolicatio 0.0  00:00.11 2    1   27+    37+    208K+  124K+  0B     532K+  54M+  2412M+ 605   1     sleeping 0   6482+     102+     1348+     889+      3897+     1862+     2263+      2607+   277K+  65K+   1        0.0   root           
567    accountsd        0.0  00:02.81 2    0   67+    87+    1964K+ 1584K+ 0B     1076K+ 57M+  2439M+ 567   424   sleeping 501 12932+    265+     3704+     1572+     24366+    7209+     12231+     757+    1655K+ 968K+  168      0.0   tgreen         
562    lsboxd           0.0  00:00.45 2    1   93+    63+    976K+  696K+  0B     2108K+ 73M+  2458M+ 562   424   sleeping 501 4652+     152+     3465+     1691+     10425+    4273+     5825+      32+     1508K+ 230K+  114      0.0   tgreen         
561    CalendarAgent    0.0  00:26.44 4    0   160+   180+   18M+   16M+   0B     4980K+ 66M+  2461M+ 561   424   sleeping 501 80033+    834+     43488+    24489+    188101+   95411+    127367+    4742+   3749K+ 115K+  489      0.0   tgreen         
552    secd             0.0  00:00.93 2    1   74+    51+    888K+  692K+  0B     676K+  53M+  2435M+ 552   424   sleeping 501 5183+     159+     3625+     2341+     23189+    4880+     9470+      313+    1865K+ 191K+  157      0.0   tgreen         
550    identityservices 0.0  00:03.21 4    0   118+   82+    2000K+ 1604K+ 0B     3164K+ 54M+  2439M+ 550   424   sleeping 501 15616+    397+     12860+    6415+     49103+    32311+    29583+     1416+   2856K+ 1677K+ 257      0.0   tgreen         
